question,document
Where should I call load_dotenv() in a notebook before using the OpenAI client?,86d99bbf21
What is the correct variable name for the OpenAI API key in my .env file?,86d99bbf21
How can I make sure the notebook actually reads my environment variables?,86d99bbf21
How do I keep my API keys out of git and load them in Python with a .env file?,233dabe430
"What’s the easiest way to save OpenAI, Groq, or Gemini keys locally without hardcoding them?",233dabe430
Do I need to install anything special to read environment variables from a .env file?,233dabe430
How can I make sure my .env file never gets committed to GitHub?,233dabe430
What Python code should I use to load keys from .env and access them with os.getenv()?,233dabe430
Can I switch to a different LLM provider than the one the homework suggests?,ee43413718
"Is the recommended model in the assignment mandatory, or can I use OpenAI, Gemini, Groq, or something else?",ee43413718
"Does the homework require a paid API, or can I do it with a free/local model instead?",ee43413718
"If I use another provider like Azure OpenAI or OpenRouter, will I need to change the code?",ee43413718
Where can I find a list of alternative APIs or models I can use for the course homework?,ee43413718
What do I need to set up if I want to use Gemini in the Module 1 notebook with the OpenAI-style API?,0ae5c221b9
How can I point the notebook’s OpenAI client to Google’s compatible endpoint and pass my Gemini key?,0ae5c221b9
What model name should I use when calling Gemini through the OpenAI-compatible chat completions call?,0ae5c221b9
"Why doesn’t the Module 1 code work as-is with Gemini, and what parts of the notebook need changing?",0ae5c221b9
Can you show a simple helper function for calling a Gemini model from the course notebook with dotenv and OpenAI client?,0ae5c221b9
"How do I install Ollama on my machine, and does it depend on whether I'm on Mac, Windows, or Linux?",1d0b969028
"After installing Ollama, what command should I run to start using the local model and check that it works?",1d0b969028
How can I quickly verify that the Ollama server is running on localhost before I use it in Python?,1d0b969028
"What do I need to install in Python to talk to Ollama, and what does a basic chat example look like?",1d0b969028
Is there a simple way to launch LLaMA 3 with Ollama and then call it from a Python script?,1d0b969028
How do I fix the connection refused error when I try prompting Ollama in the RAG homework?,c6fc2d4d11
My Ollama server seems down in the notebook — what should I run to bring it back up?,c6fc2d4d11
"After restarting the notebook, do I need to execute the Ollama server cell again?",c6fc2d4d11
What command can I use to start Ollama in the background if I get a refused connection error?,c6fc2d4d11
Is there a quick way to recover from Ollama connection issues during the module 1 RAG assignment?,c6fc2d4d11
Why does my token count from tiktoken not match the number OpenAI shows in the response?,bf0403d21b
"In chat.completions.create, are there extra hidden tokens added beyond the text I send?",bf0403d21b
How many structural tokens does each chat message add in OpenAI’s chat format?,bf0403d21b
Why can I get a lower token count locally but a slightly higher one from the API?,bf0403d21b
"Can whitespace, newlines, or weird Unicode characters change the token total OpenAI reports?",bf0403d21b
How can I make my API key load automatically in a project folder instead of exporting it in every new terminal?,8b2f5e9d04
Is there a tool like direnv that works with both .env and .envrc files and is easier to use across shells?,8b2f5e9d04
What should I put in my shell startup file so the environment hook runs when I open a terminal?,8b2f5e9d04
How do I keep my OpenAI key out of GitHub when I store it in a local environment file?,8b2f5e9d04
"If I’m using a Python script or Codespaces, what’s the best way to load secrets without typing them manually every time?",8b2f5e9d04
How do I figure out good field weights in minsearch without just guessing?,87d4ea4e08
Is there a better way to tune search field weights than trial and error?,87d4ea4e08
What’s the usual process for picking weights for different fields in a search engine?,87d4ea4e08
Should I build some kind of test set before changing field weights?,87d4ea4e08
Which metrics should I check when comparing different field weight settings?,87d4ea4e08
What should I do to clean up documents before using them in a RAG pipeline?,649c280e6d
"Do I need to keep things like titles, dates, and section names when preparing data for retrieval?",649c280e6d
"Is JSON required for storing documents, or can I use another format for RAG?",649c280e6d
How do I chunk documents so the retrieved context stays useful and related?,649c280e6d
What kind of metadata is worth saving to help with filtering or ranking later in RAG?,649c280e6d
"Why does uv show a “Failed to hardlink files” warning in GitHub Codespaces, and do I need to worry about it?",acf8fa5356
"If uv can’t hardlink packages in Codespaces, does the install still work or does it break the setup?",acf8fa5356
How can I stop uv from printing the hardlink warning in my current shell session?,acf8fa5356
What’s the quickest way to make uv use copy mode by default every time I open a terminal in Codespaces?,acf8fa5356
Is there any official uv docs page that explains this hardlink-to-copy fallback behavior?,acf8fa5356
I’m getting an error that dotenv isn’t recognized in my Python project — what package do I need to install?,0bed1f48da
What should I add with uv if load_dotenv from dotenv is missing?,0bed1f48da
How do I fix the ‘dotenv is not recognized’ issue in Module 1 RAG?,0bed1f48da
"Which library do I install to use load_dotenv(), and what import should I write?",0bed1f48da
"Is python-dotenv the right dependency for dotenv, and how do I use it after installing?",0bed1f48da
Can I do the course on my own machine instead of using Codespaces?,aa310de435
"Is Codespaces required, or can I set everything up locally for the RAG module?",aa310de435
What do I need installed if I want to run the course environment on my laptop?,aa310de435
"If I skip Codespaces and work locally, do I need to keep my setup reproducible somehow?",aa310de435
"Is it okay to use a local Python/Jupyter/Docker setup for the course, or should I stick to the provided environment?",aa310de435
"If I work in GitHub Codespaces and never commit my changes, do they stay saved anywhere or can I lose them?",610ccb23c0
"Is code I write in Codespaces stored on the VM only, or does it automatically go to my GitHub repo?",610ccb23c0
"What happens to my files in Codespaces if the workspace gets stopped, disconnected, or deleted?",610ccb23c0
"Do I really need to commit often in Codespaces, or is the VM enough to keep my work safe?",610ccb23c0
Where exactly is my uncommitted code saved when I use Codespaces?,610ccb23c0
Why does WSL2 say the model needs more memory even though my PC has enough RAM?,f3dd94f323
How do I give WSL2 more RAM so the model can run?,f3dd94f323
Where should I put the .wslconfig file on Windows to change WSL2 memory?,f3dd94f323
What exact setting do I need to add to .wslconfig for WSL2 memory?,f3dd94f323
"After changing WSL2 memory, how do I restart it and check that the new RAM limit is active?",f3dd94f323
"Why does my GitHub Codespace keep getting stuck on “Finishing up,” and what’s the best way to get it working again?",830f3d2018
"If my Codespace won’t reconnect at all, should I restart it, open it in the browser, or just make a new one?",830f3d2018
"I opened my Codespace and everything looks reset — did my project disappear, or is this normal after a rebuild?",830f3d2018
What should I do when my setup inside Codespaces seems gone after stopping or recreating the environment?,830f3d2018
"Is there a quick way to recover my course environment if Codespaces keeps acting flaky, or should I just run everything locally instead?",830f3d2018
"Can I swap OpenAI out for another model provider in this RAG module, or is the course code locked to OpenAI?",c6ff9083c0
"If my region blocks the provider used in the course, what are the easiest alternatives I can plug in instead?",c6ff9083c0
"Do tools like Groq, OpenRouter, Gemini, Mistral, DeepSeek, or Z.ai work with the same code, or do I need to rewrite a lot?",c6ff9083c0
"Is it possible to run the model on my own machine with Ollama, vLLM, or LM Studio and still use the course examples?",c6ff9083c0
"If I rent a GPU server and host the model myself, what do I need to change in the notebook, and is using a VPN another option?",c6ff9083c0
"In agentic RAG, what exactly counts as a tool or function, and what is it used for?",c296ea5a21
Should I worry about the difference between calling something a tool vs a function in this course?,c296ea5a21
"What kind of outside help can the model get through tools or functions, like search, databases, APIs, or calculations?",c296ea5a21
How is tool use in agentic RAG different from the retrieval step in basic RAG?,c296ea5a21
When does the model decide to call a tool or function instead of just answering right away?,c296ea5a21
Which free models can I use if I need tool use support for development?,0d74a3616f
Does Groq have any models that support tools or function calling without paying?,0d74a3616f
"Are there any non-OpenAI providers that let me do tool use, like Mistral or Gemini?",0d74a3616f
"If I switch away from OpenAI, will I need to change my tool-calling code?",0d74a3616f
Where can I find the docs for using tool calls with Groq models?,0d74a3616f
Why do I get `AttributeError: 'str' object has no attribute 'output'` when I try `client.responses.create(...)` with a non-OpenAI model?,9e7b3f0c25
"Is the OpenAI Responses API only meant for OpenAI models, or should it work with Mistral/Groq/Gemini too?",9e7b3f0c25
"If I’m using a provider other than OpenAI, what should I use instead of `response.output` to get the model text?",9e7b3f0c25
How do I change my code to work with `chat.completions.create(...)` instead of the newer Responses API?,9e7b3f0c25
"For the tools part, do I need to rewrite the schema for each provider, or can I keep the same one?",9e7b3f0c25
I'm using Azure OpenAI and still getting this 400 error about missing `tools[0].function` — what should I change in my weather tool JSON?,b9c7c6bb34
How do I fix the Azure OpenAI request if it says `Missing required parameter: 'tools[0].function'` when calling the weather tool?,b9c7c6bb34
What is the correct structure for `get_weather_tool` so Azure OpenAI stops complaining about `tools[0].function`?,b9c7c6bb34
"Why am I seeing `invalid_request_error` with `tools[0].function` missing, and what should the `get_weather` tool look like?",b9c7c6bb34
Can you show the exact JSON format for the weather function tool that works with Azure OpenAI?,b9c7c6bb34
"Why do I get a 404 error with toyaikit when I try Groq or another non-OpenAI model, and what class should I use instead?",0224d980b3
How can I make toyaikit work with Groq using the OpenAI-compatible client and chat completions endpoint?,0224d980b3
What is the right way to use toyaikit with Anthropic models instead of OpenAI?,0224d980b3
"Does toyaikit require the Responses API, or can I use chat.completions with providers like Groq?",0224d980b3
"When I run toyaikit with a provider like Groq or Anthropic, do I need a current model name and is there anything else that might cause a 404?",0224d980b3
Where do I actually find the Module 1 homework questions and instructions?,53f15299b6
"Is the homework only on the course platform, or is there a GitHub link too?",53f15299b6
Which GitHub pages should I open for the 2026 Module 1 homework?,53f15299b6
Do I need to check the repo for extra homework details besides the platform?,53f15299b6
Where should I go to read the homework prompt and submit it?,53f15299b6
"Why am I getting an empty list when I filter my query in homework Q3, even though the data is there?",83da208a64
What should I check first if my search returns nothing after applying filters in the Module 1 homework?,83da208a64
Could the problem with my empty query results be caused by how I indexed the data before filtering?,83da208a64
"Do I need to set up the index settings before loading documents, or can I do it afterward?",83da208a64
How do I fix the issue where filtering works but my query still comes back empty in the homework?,83da208a64
"Why do I get a 402 error from OpenRouter when I call responses.create(), even though the same setup works with OpenAI directly?",cfb07a27d5
What should I change in responses.create() so OpenRouter stops rejecting my request before the model even runs?,cfb07a27d5
"In the Module 1 homework rag_helper.py, where do I add the token limit fix for OpenRouter?",cfb07a27d5
How can I set max_output_tokens in ToyAIKit for Q6 so the OpenRouter call goes through?,cfb07a27d5
"If I still see the 402 error after limiting output tokens, what else should I check in my .env and OpenRouter key settings?",cfb07a27d5
"In the Module 1 homework, when people say to point RAG at the chunk index, does that mean I should use the split texts instead of the original docs?",b4300adeb1
"For the search index in the homework, should I fit it on `chunks` or on `documents`?",b4300adeb1
"If I build the index from the full documents instead of the chunked ones, is that wrong for the RAG setup?",b4300adeb1
How does the retrieval step know to pull chunks and not whole documents in this assignment?,b4300adeb1
Why does using the chunk index matter for the prompt size and context sent to the model?,b4300adeb1
"For the module 1 homework, do my numeric answers have to match the choices exactly, or is the nearest option okay?",5e4ca64cb5
"If my result is a little different from the listed answers, should I just pick the closest one?",5e4ca64cb5
Why do homework outputs sometimes differ from the provided options even when my code seems right?,5e4ca64cb5
What should I check if my answer is way off from all the multiple-choice options in the homework?,5e4ca64cb5
"Could dataset versions, rounding, or model differences explain small mismatches in the homework answers?",5e4ca64cb5
Where should I look first when a homework question doesn’t make sense on the platform page?,7d3a2e3505
"For Module 1, do I need to check the GitHub homework instructions instead of only the course page?",7d3a2e3505
"If the homework seems different from the lesson, is that normal or should I be worried?",7d3a2e3505
What should I include when asking about a confusing homework task in Slack?,7d3a2e3505
"Can I send a screenshot of my error in Slack, or do you want the command output as text?",7d3a2e3505
How should I count tokens for the Module 1 homework if I’m using a provider other than OpenAI?,fe8fed31e6
"Can I just use tiktoken or cl100k_base for Gemini, Mistral, Groq, or Hugging Face in the homework?",fe8fed31e6
Where do I find the token usage number in the response object for OpenAI-style clients?,fe8fed31e6
What should I do if my model provider doesn’t return any token usage fields at all?,fe8fed31e6
"For the multiple-choice questions, what if my token count doesn’t match any option exactly?",fe8fed31e6
"Why is my homework link getting rejected with a 500 or other non-200 error, and what should I check first?",bcdb8740ce
"Does the checker need my repo to be public, or can it read a private GitHub repo somehow?",bcdb8740ce
I submitted a GitHub URL with .git at the end — could that be why the checker can't open it?,bcdb8740ce
How can I quickly verify that the repo URL I’m submitting is reachable from outside my account?,bcdb8740ce
What are the common reasons a homework submission URL looks valid but still fails the checker?,bcdb8740ce
"What exactly are embeddings in vector search, and why do they turn text or other data into numbers?",69430a79a8
How do embeddings keep meaning and context when converting non-numerical data into numerical form?,69430a79a8
Why should similar inputs produce similar vectors in an embedding model?,69430a79a8
How does the closeness of embedding values help with semantic similarity search?,69430a79a8
"What’s the connection between embeddings, vector space models, and dimensionality reduction?",69430a79a8
"How can I get rid of the warning about ""multi-qa-mpnet-base-dot-v1"" being made on sentence-transformers v3.0.0 beta?",aa3f597424
What should I install to suppress the sentence-transformers version warning?,aa3f597424
"Is there a way to stop the warning from the ""multi-qa-mpnet-base-dot-v1"" model without changing my code?",aa3f597424
Which sentence-transformers version do I need so that this warning disappears?,aa3f597424
What command upgrades sentence-transformers to fix the warning message?,aa3f597424
"Why did the lesson use `.dot(...)` directly for cosine similarity, but the homework says to normalize first?",92cd22cada
"Are OpenAI embeddings already unit-length, so dot product works like cosine similarity without extra steps?",92cd22cada
"In the homework with TF-IDF plus SVD, why doesn’t dot product match cosine similarity by default?",92cd22cada
Do I need to normalize vectors manually before comparing them in the homework?,92cd22cada
"When is dot product the same as cosine similarity, and when is it not?",92cd22cada
"For vector search, is it better to embed only the answer text, only the question, or both together?",5c4a8d2e60
"How do I decide whether to index question, answer, or question plus answer in my vector search setup?",5c4a8d2e60
Does the course recommend embedding just the FAQ text or the question too when doing retrieval?,5c4a8d2e60
"Which embedding choice usually works best for vector search: answer-only, question-only, or both fields combined?",5c4a8d2e60
"Should I test different embedding strategies for vector search, and what metric should I use to compare them?",5c4a8d2e60
What exactly does cosine similarity measure between two vectors?,db78580409
Why do people use cosine similarity for comparing documents or text?,db78580409
How do you calculate the cosine between two vectors in practice?,db78580409
"What does it mean when cosine similarity is 1, 0, or -1?",db78580409
Can cosine similarity work with word counts or TF-IDF vectors?,db78580409
Why does cosine similarity turn into just a dot product after normalizing the embeddings and the query vector?,95feb4e75b
How does unit-length normalization make matrix multiplication enough to compare a query with all document vectors?,95feb4e75b
Why do we say cosine similarity depends only on direction once the vectors are normalized?,95feb4e75b
Is matrix multiplication used here because the magnitudes of the embeddings no longer matter after normalization?,95feb4e75b
How can we efficiently compute cosine similarity for many vectors at once using the embedding matrix and one query vector?,95feb4e75b
"For Module 2, do I need to create a whole new GitHub repo, or is making a fresh Codespace enough?",1e829a8c6f
Why does the course recommend a separate Codespace for the vector search module instead of reusing the one from Module 1?,1e829a8c6f
"If I only spin up a new Codespace for Module 2, will it still come from my existing repo?",1e829a8c6f
What should I do with my Module 2 work if I might delete the Codespace later?,1e829a8c6f
"Do I need to set up anything extra in GitHub, or can I just start a new Codespace and work there?",1e829a8c6f
Why does download.py get stuck at 0% when it tries to fetch model.onnx from HuggingFace?,29b69fbe0b
What should I do if the model file won't download and the script just hangs forever?,29b69fbe0b
Is there a manual way to get model.onnx instead of waiting for the download script?,29b69fbe0b
"If I save model.onnx myself, will download.py still try to download it again?",29b69fbe0b
Could a bad or slow connection to HuggingFace be the reason the model download never starts?,29b69fbe0b
Why can the dot-product version of vector search and the loop version return a tiny mismatch even when they do the same math?,e889793af9
"If `np.allclose(scores, scores_loop)` is false, does that mean my vector search code is wrong?",e889793af9
"Why does `X.dot(v_query)` not match the manual Python loop exactly, even though both compute scores?",e889793af9
Is it normal for two vector search implementations to differ in the last decimals because of float precision?,e889793af9
What’s the right way to compare the BLAS-based vector search scores with the for-loop version without expecting exact equality?,e889793af9
"For Module 2 Q2, my cosine similarity result doesn’t match any answer choice — could I be using the wrong embedding model?",eaa17a9dc6
The homework says not to use sentence-transformers for Q2; what should I import and use instead?,eaa17a9dc6
"If my cosine score is weird in the Module 2 notebook, am I supposed to embed the page content or something else?",eaa17a9dc6
"Do I need to compare the page vector with the Q1 query vector, and are the vectors already normalized?",eaa17a9dc6
My Q2 cosine value is close but not exact — should I worry about tiny numeric differences or just pick the nearest option?,eaa17a9dc6
How do I set up Gemini API keys for Kestra so the flows can use them?,3860e5fe8b
"Do I need both a normal Gemini key and a SECRET_ version, or is one enough?",3860e5fe8b
What’s the right way to add OpenAI and Tavily secrets before starting Kestra?,3860e5fe8b
Why is my Kestra flow not seeing the API key even though I exported it in my terminal?,3860e5fe8b
"In a Kestra YAML flow, how should I reference a secret key, and do I include the SECRET_ prefix?",3860e5fe8b
"Why does Kestra AI Copilot keep saying it can only help with creating Kestra flows, and what should I check first?",04440cab11
Do I need to set a different Gemini env var for the Copilot than the one used by the flows?,04440cab11
"I already put a key in the project, but the Copilot still refuses to answer — how do I restart Kestra the right way?",04440cab11
What are the usual reasons this Copilot message appears even after I added my Gemini API key?,04440cab11
"Could this be a quota issue, like a 429 from Gemini, instead of a missing API key?",04440cab11
Why does my Kestra flow say the Gemini key is missing even though I set SECRET_GEMINI_API_KEY?,c8ca21af33
Could the base64 encoding be broken if I added a space or newline when exporting the secret key?,c8ca21af33
Do I need to restart Kestra after changing the environment variables for the secret to work?,c8ca21af33
"When I reference the key in the flow, should I use SECRET_GEMINI_API_KEY or just GEMINI_API_KEY inside `secret(...)`?",c8ca21af33
"What’s the best way to pass Gemini credentials to Kestra, using shell export or a `.env` file?",c8ca21af33
Why do we even need an orchestrator like Kestra if I can just run everything in a notebook?,193612db63
What does Kestra add that a normal script or notebook doesn’t have for AI workflows?,193612db63
"Is Kestra only for scheduling tasks, or does it also help with retries, monitoring, and secrets?",193612db63
"In this module, why is Kestra used to teach AI Copilot, RAG, and agents instead of just using notebook examples?",193612db63
"Can I switch between OpenAI, Gemini, Anthropic, and other providers in a Kestra flow without rewriting the whole thing?",193612db63
Why am I getting `JSONDecodeError: Expecting value` when I try to parse the LLM output as JSON?,a3c7e1b4f9
How do I make the model return only valid JSON so `json.loads()` works without errors?,a3c7e1b4f9
Is there a way to force OpenAI chat completions to give me a JSON object instead of markdown or extra text?,a3c7e1b4f9
What should I say in the prompt so the model returns just a `questions` array and nothing else?,a3c7e1b4f9
"Does this JSON-only output trick exist for other LLM providers too, like Gemini or Groq?",a3c7e1b4f9
Why does my Jupyter notebook keep crashing when I try to embed the ground-truth data?,b8f2d6a30c
What can I do if my machine runs out of RAM while loading the embedding model in the evaluation notebook?,b8f2d6a30c
"Is there a smaller embedding model I can use instead of the default one, and will that affect my eval results?",b8f2d6a30c
How do I avoid memory issues by moving the embedding step out of the notebook?,b8f2d6a30c
Can I fix the crash by batching the ground-truth embeddings or using a bigger Codespaces machine?,b8f2d6a30c
Why am I still hitting Gemini rate limits even after adding a sleep between requests?,c1e9f4b820
What should I do if my long tqdm loop keeps exhausting the free-tier quota while building the ground-truth data?,c1e9f4b820
Is there a cheap alternative to Gemini for generating the dataset that has better limits?,c1e9f4b820
How can I avoid blowing through the daily request cap when using thread pools for API calls?,c1e9f4b820
What’s the best way to continue the ground-truth generation after the API stops me mid-run?,c1e9f4b820
How can I fix the WinError 126 fbgemm.dll missing error on Windows when importing torch?,15e931476c
Does this PyTorch DLL error on Windows mean I need to install the Visual C++ Redistributable?,15e931476c
"Could installing Visual Studio solve the ""specified module could not be found"" issue for torch on Windows?",15e931476c
"I’m getting ""Error loading fbgemm.dll or one of its dependencies"" in Python on Windows — what should I do?",15e931476c
"Is Visual Studio Code enough for this PyTorch Windows DLL problem, or do I need the full Visual Studio install?",15e931476c
"Why am I getting ""could not translate host name postgres"" when I run prep.py, and what should I change in my .env file?",4b65d5542d
My psycopg2 OperationalError says the postgres host can't be found. Is the fix just setting POSTGRES_HOST to localhost?,4b65d5542d
"When prep.py fails with a host name lookup error for postgres, how do I update the database host?",4b65d5542d
How can I solve the No such host is known error from psycopg2 by editing POSTGRES_HOST in .env?,4b65d5542d
I keep seeing an OperationalError about postgres not being resolved. What should POSTGRES_HOST be set to?,4b65d5542d
How do I make Pandas show the full text in a column instead of cutting it off?,641aedbbf5
