question,answer_llm,answer_orig,document
"Where can I watch the Office Hours or live workshop sessions if I’m a student, since I don’t get the Zoom link?","Students can watch the Office Hours or live workshop sessions on the DataTalksClub YouTube Channel, and the live video URL is also posted in the announcements channel on Telegram and Slack before it starts.  

If the session is live, students submit questions via Slido, whose link is pinned in the chat.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
How do students join the live sessions and ask questions during Office Hours without access to the private meeting link?,"Students join the live sessions via **YouTube Live**. They can ask questions using **Slido**, with the Slido link **pinned in the chat when the session is live**.

The private Zoom link is only for **instructors/presenters/TAs**, so students should not use it.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Is the stream link for workshops shared somewhere before the session starts, and where should I look for it?","Yes. The video/stream link is usually posted before the session starts in the **announcements channel on Telegram and Slack**.

You can also watch it live on the **DataTalksClub YouTube channel**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
"Can I find the live video for Office Hours on YouTube or in the course announcements, and where exactly is it posted?","Yes. The live video for Office Hours is posted in the **announcements channel on Telegram and Slack** before it begins, and you can also watch it live on the **DataTalksClub YouTube channel**.

It is **not** the Zoom link—Zoom is only for instructors/presenters/TAs.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
What’s the best way for students to submit questions during a live session instead of typing them in chat?,"Students should submit questions to **Slido**, not in the chat. The Slido link is **pinned in the chat when the session is live**.","The zoom link is only published to instructors/presenters/TAs.

Students participate via YouTube Live and submit questions to Slido (link is pinned in the chat when live). The video URL should be posted in the [announcements channel on Telegram and Slack](https://t.me/dezoomcamp) before it begins. You can also watch live on the DataTalksClub [YouTube Channel](https://www.youtube.com/c/DataTalksClub).

Don’t post questions in chat as they may be missed if the room is very active.",489dd1c9d9
Where should I begin if I’m joining the LLM Zoomcamp and want to know the right order to follow each week?,"Start with the **LLM Zoomcamp docs**, the **general Zoomcamp logistics docs**, and the **LLM Zoomcamp GitHub repository**.

For the weekly order, a typical workflow is:

1. **Watch the lesson videos**
2. **Work through the lesson notebooks/code**
3. **Read the homework instructions on GitHub**
4. **Submit your answers on the course platform before the deadline**

You can begin **whenever you want**. The materials are available in the GitHub repo, and deadlines are listed on the **course management platform**.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Do I need to wait for a specific start date, or can I just begin the course anytime and check the deadlines somewhere?","You can start whenever you want — there’s no need to wait for a specific start date.

The videos and GitHub materials are already available, and you can check the deadlines on the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"What’s the usual weekly process in this course—do you watch the lecture first, then do the notebook, then the homework?","Yes — the usual weekly workflow is:

1. Watch the lesson videos  
2. Work through the lesson notebooks/code  
3. Read the homework instructions on GitHub  
4. Submit the answers on the course platform before the deadline  

Homework usually follows the lesson flow, but may use a different dataset or a slightly different task.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Besides the videos, which course pages or repos should I be looking at to keep up with the materials and assignments?","Besides the videos, you should keep an eye on:

- The **LLM Zoomcamp docs**: https://datatalks.club/docs/courses/llm-zoomcamp/
- The **general Zoomcamp logistics docs**: https://datatalks.club/docs/courses/zoomcamp-logistics/
- The **LLM Zoomcamp GitHub repository**: https://github.com/DataTalksClub/llm-zoomcamp
- The **course management platform** for deadlines and homework submission: https://courses.datatalks.club/llm-zoomcamp-2026/

The repo is the main place to follow, since the lesson folders contain the notebooks/code and each lesson page links the relevant videos at the top.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
"Is the homework basically the same as the lesson exercises, or does it usually change the data/task a bit?","Homework is usually similar to the lesson exercises, but it often changes the dataset or asks you to apply the same idea in a slightly different way.","Start with the [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/), the [general Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/), and the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp).

You can start whenever you want. The videos and GitHub materials are available, and the deadlines are listed in the [course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

A typical workflow is:

1. Watch the lesson videos.
2. Work through the lesson notebooks/code.
3. Read the homework instructions on GitHub.
4. Submit answers through the course platform before the deadline.

Homework is similar to the lesson flow, but uses a different dataset or slightly different task.",04919992b3
How do I find my own entry on the leaderboard if I can’t spot my name right away?,"Click the **“Jump to your record on the leaderboard”** link — it takes you straight to your entry, even if you can’t spot your name right away.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Why does the leaderboard show a random name instead of my real one, and can I change it?","When you set up your account, you’re automatically assigned a random public display name, like “Lucid Elbakyan,” for the leaderboard.

Yes, you can change it:
- Go to **Edit Course Profile**
- Change the **first field** to the nickname/display name you want shown publicly on the leaderboard
- Your **real/legal name** goes in the **second field** if you want it to appear on your certificate

So the random name is just the default anonymous leaderboard name, and you can replace it with your preferred nickname.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
Where can I see the display name I’m using for the course leaderboard?,"You can see it in **“Edit Course Profile”** — it’s the **first field**, which is your public nickname/display name for the leaderboard.","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
How do I make sure my certificate shows my real name instead of the default nickname?,Go to **Edit Course Profile** and set the **second field** to your official name exactly as you want it printed on the certificate. The **first field** is only your public nickname for the leaderboard.,"When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
What’s the difference between the nickname on my profile and the official name used for the certificate?,"The **nickname on your profile** is your **public display name** for the leaderboard, and it can be a random nickname or one you choose.  
The **official name** is the one printed on your **certificate**, and it should match your identification documents.

So:  
- **Profile nickname:** public, shown on the leaderboard  
- **Certificate name:** official, shown only on the certificate","When you set up your account, you are automatically assigned a random name, such as “Lucid Elbakyan.” Click on the ""Jump to your record on the leaderboard"" link to find your entry.

If you want to see what your Display name is, click on the ""Edit Course Profile"" button.

<{IMAGE:image_1}>

- **First field:** This is your nickname/displayed name. You can change it if you want to be known by your Slack username, GitHub username, or any other nickname of your choice. This is useful if you want to remain anonymous.
- **Second field:** Change this to your official name as in your identification documents—passport, national ID card, driver's license, etc. This is mandatory if you do not want ""Lucid Elbakyan"" on your certificate. This name will appear on your Certificate!",c2903069a0
"Can I take this course at my own pace and still get a certificate, or is that not allowed?","No. You can take the course in self-paced mode, but you won’t get a certificate that way. Certificates are only awarded if you finish with a live cohort, because you need to complete peer reviews while the course is running.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"If I go through the materials later on my own, do I get a certificate at the end?",No. We don’t award certificates for the self-paced mode. You can only get a certificate if you finish the course with a live cohort.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Why don’t you give certificates for the self-paced version of the course?,"We don't award certificates for the self-paced mode because the course requires you to peer-review 3 capstone projects after submitting your own project. That peer-review can only happen while the live cohort is running, before the form is closed and the review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Do I have to be in a live cohort to earn the course certificate?,Yes. You can only earn the course certificate if you finish the course with a live cohort; self-paced mode does not include a certificate.,"No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
"Is the peer-review part required for the certificate, and can it be done after the course is over?","Yes. The peer-review part is required to get the certificate.

No, it cannot be done after the course is over. You can only peer-review projects while the course is running, before the form is closed and the peer-review list is compiled.","No, you can only get a certificate if you finish the course with a ""live"" cohort.

We don't award certificates for the self-paced mode. The reason is you need to peer-review 3 capstone(s) after submitting your project.

You can only peer-review projects at the time the course is running; after the form is closed and the peer-review list is compiled.",69d122f12e
Can I still get the certificate if I skipped the first homework?,Yes. Missing the first homework won’t affect your certificate. You only need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Do I have to do every homework to receive the course certificate?,No. Homework is not mandatory for the certificate. You need to pass the Capstone project to get the certificate.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Is the certificate based on homework completion or the Capstone project?,"The certificate is based on completing the **Capstone project**, not on homework completion. Homework is **recommended** and its points count toward the leaderboard, but it is **not mandatory** for the certificate.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
What do I need to pass in order to get the certificate for this course?,You need to pass the **Capstone project** to get the certificate. Homework is **not mandatory**.,"Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
"Are homework points required for the certificate, or only for the leaderboard?","Homework points are **not required for the certificate**. You only need to **pass the Capstone project** to get the certificate.

Homework points **do count toward your leaderboard rank**.","Yes, you need to pass the Capstone project to get the certificate. Homework is not mandatory, though it is recommended for reinforcing concepts, and the points awarded count towards your rank on the leaderboard.",9f689c185f
Why does the homework keep changing before it’s released?,"If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is only ready when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change, so it may look different before release.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
How can I tell if a homework assignment is already final and ready?,"A homework assignment is final and ready only when **both** are true:

- The homework form is **open** on the course management platform.
- The homework title **does not contain** `[DRAFT]`.

If the title includes `[DRAFT]`, it is **not ready yet**, and the content may still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
What does the [DRAFT] label in a homework title mean?,"If a homework title contains `[DRAFT]`, it means the homework is not ready yet.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
Can I start doing the homework early if it still says draft?,"Yes — but only at your own risk.

If the homework title still contains `[DRAFT]`, it means the homework is not ready yet, and the content can still change. You can work on it in advance, but the final version may be different. The homework is only considered ready when:

- the homework form is open on the course platform, and
- the title no longer contains `[DRAFT]`.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is it safe to assume the homework won’t be changed anymore?,"It’s safe to assume the homework won’t be changed anymore only when:

- the homework form is open on the course management platform, and
- the homework title does **not** contain `[DRAFT]`.

Until both are true, the content can still change.","If the homework title contains `[DRAFT]`, it means the homework is not ready yet.

The homework is ready only when both are true:

- The homework form is open on the course management platform.
- The homework title does not contain `[DRAFT]`.

Until then, the content can still change. Working on the material or homework in advance is at your own risk, because the final version can be different.",96286b4be4
When is the next time this course will be available?,Summer 2027.,Summer 2027.,bd31146b0e
Do you know which term this course runs again?,I don't know.,Summer 2027.,bd31146b0e
What’s the next offering date for the course?,Summer 2027.,Summer 2027.,bd31146b0e
Is the course coming back in Summer 2027?,Yes — the course will be offered next in **Summer 2027**.,Summer 2027.,bd31146b0e
When can I enroll in this course next?,The next offering is **Summer 2027**.,Summer 2027.,bd31146b0e
Where can I find the lecture videos for LLM Zoomcamp?,"Use the **LLM Zoomcamp GitHub repository** as the main entry point:  
https://github.com/DataTalksClub/llm-zoomcamp

Open the **lesson folders** in the repo — each lesson page has the relevant **video links at the top**. If you’re unsure, start from the GitHub repo rather than the YouTube playlist, since it’s easier to keep updated.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Is there a main place to start if I want the course videos and materials?,"Yes — use the **LLM Zoomcamp GitHub repository** as the main entry point.

Open the lesson folders there; each lesson page has the relevant videos linked at the top. If you’re unsure where to begin, follow the GitHub repo first because it’s easier to keep updated than the YouTube playlist.

You can also start with these:
- [LLM Zoomcamp docs](https://datatalks.club/docs/courses/llm-zoomcamp/)
- [General Zoomcamp logistics docs](https://datatalks.club/docs/courses/zoomcamp-logistics/)
- [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp)","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Do the lesson pages include links to the videos, and where are they shown?",Yes. Each lesson page has the relevant video links shown at the top of the lesson folder/page in the GitHub repository.,"Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
Should I use the GitHub repo or the YouTube playlist to follow the lectures?,"Use the **GitHub repo as the main entry point**. The lesson folders there have the relevant videos linked at the top, and the repo is easier to keep updated than the YouTube playlist.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
I'm looking for the recordings—what's the best way to find the right lesson video?,"The best way is to use the **course videos and GitHub materials together**:

1. Go to the **LLM Zoomcamp docs** and the **GitHub repository**.
2. Watch the lesson videos in order.
3. Follow the notebooks/code for each lesson.
4. If you’re looking for a specific recording, check the **announcements channel on Telegram/Slack** for the posted video URL before the session starts, or watch on the **DataTalksClub YouTube channel**.

If you mean a particular lesson video and can’t find it, I don’t know.","Use the [LLM Zoomcamp GitHub repository](https://github.com/DataTalksClub/llm-zoomcamp) as the main entry point.

Open the lesson folders in the repo. Each lesson page has the relevant videos linked at the top.

<{IMAGE:lessons}>

When in doubt, follow the GitHub repo first, because it is easier to keep updated than the YouTube playlist.",31456f4b5f
"Where do I check the LLM Zoomcamp syllabus, homework deadlines, and my progress in the course?","Check the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

That’s where you can see the **syllabus/cohort structure, homework, deadlines, and your progress**.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
Is there one place to follow the current LLM Zoomcamp cohort structure and assignments?,"Yes — use the **LLM Zoomcamp course management platform** to follow the current cohort structure, homework, deadlines, and progress:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
How can I keep track of all the deadlines and homework for LLM Zoomcamp?,"Use the **LLM Zoomcamp course management platform**:  
https://courses.datatalks.club/llm-zoomcamp-2026/

It has the course structure, homework, deadlines, and progress tracking.","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
What platform should I use to see the LLM Zoomcamp progress tracking and course schedule?,Use the **LLM Zoomcamp course management platform**: https://courses.datatalks.club/llm-zoomcamp-2026/,"Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Does LLM Zoomcamp have a course management site for syllabus, homework, and deadlines?","Yes. LLM Zoomcamp has a course management platform for syllabus, homework, deadlines, and progress tracking:

https://courses.datatalks.club/llm-zoomcamp-2026/","Use the [LLM Zoomcamp course management platform](https://courses.datatalks.club/llm-zoomcamp-2026/).

It contains the current cohort structure, homework, deadlines, and progress tracking. The process is the same as in other DataTalks.Club Zoomcamps.",20c5a1347e
"Do we get live sessions or office hours for every module, or is it all pre-recorded stuff in the repo?","There are no separate live sessions for every module by default. The module materials are pre-recorded and available in the course repo.

Live sessions, when they happen, are announced separately. If you get stuck, ask in Slack and follow the asking questions guidelines.","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"If I get stuck on a lesson, where should I ask for help instead of waiting for a module live session?",Ask in **Slack** and follow the **asking questions guidelines**.,"There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
"Are any live meetings announced separately during the course, and how do I find out about them?","Yes. Live sessions are announced separately when they happen.

To find out about them:
- Check the **announcements channel on Telegram and Slack**
- Watch the **DataTalksClub YouTube channel** for the live stream
- For live sessions, the **video URL is posted in announcements before it begins**
- You can also follow the course’s Slack and ask questions there if you’re stuck","There are no separate live sessions for every module by default. Module materials are pre-recorded and available in the course repo.

Live sessions are announced separately when they happen. If you are stuck, ask your question in Slack and follow the [asking questions guidelines](https://datatalks.club/docs/courses/zoomcamp-logistics/asking-questions/).

Optional extra support is available through [AI Shipping Labs](https://datatalks.club/docs/courses/llm-zoomcamp/ai-shipping-labs/), a paid community that includes regular Zoom office hours and additional structure. This is optional; the DataTalks.Club course content remains free.",d65e05bd7a
